species,acid,cost_type,cost,usage
bayanus,val,akashi,23.3,0.0574352496559657
bayanus,val,sul-rel,0.0,0.0574352496559657
bayanus,val,weight,117.2,0.0574352496559657
bayanus,val,glu-abs,0.957186667,0.0574352496559657
bayanus,val,sul-abs,0.0,0.0574352496559657
bayanus,val,amm-rel,0.264669333,0.0574352496559657
bayanus,val,glu-rel,0.253271667,0.0574352496559657
bayanus,val,amm-abs,1.0,0.0574352496559657
bayanus,lys,akashi,30.3,0.0698023428567516
bayanus,lys,sul-rel,0.0,0.0698023428567516
bayanus,lys,weight,146.2,0.0698023428567516
bayanus,lys,glu-abs,1.314213333,0.0698023428567516
bayanus,lys,sul-abs,0.0,0.0698023428567516
bayanus,lys,amm-rel,0.5724,0.0698023428567516
bayanus,lys,glu-rel,0.376126667,0.0698023428567516
bayanus,lys,amm-abs,2.0,0.0698023428567516
bayanus,trp,akashi,74.3,0.0107615996056442
bayanus,trp,sul-rel,0.0,0.0107615996056442
bayanus,trp,weight,204.2,0.0107615996056442
bayanus,trp,glu-abs,2.392936667,0.0107615996056442
bayanus,trp,sul-abs,0.0,0.0107615996056442
bayanus,trp,amm-rel,0.0568,0.0107615996056442
bayanus,trp,glu-rel,0.067959333,0.0107615996056442
bayanus,trp,amm-abs,2.0,0.0107615996056442
bayanus,leu,akashi,27.3,0.097016657423953
bayanus,leu,sul-rel,0.0,0.097016657423953
bayanus,leu,weight,131.2,0.097016657423953
bayanus,leu,glu-abs,1.207193333,0.097016657423953
bayanus,leu,sul-abs,0.0,0.097016657423953
bayanus,leu,amm-rel,0.296398667,0.097016657423953
bayanus,leu,glu-rel,0.357813333,0.097016657423953
bayanus,leu,amm-abs,1.0,0.097016657423953
bayanus,ala,akashi,11.7,0.0566992557903889
bayanus,ala,sul-rel,0.0,0.0566992557903889
bayanus,ala,weight,89.1,0.0566992557903889
bayanus,ala,glu-abs,0.5,0.0566992557903889
bayanus,ala,sul-abs,0.0,0.0566992557903889
bayanus,ala,amm-rel,0.4588,0.0566992557903889
bayanus,ala,glu-rel,0.229400333,0.0566992557903889
bayanus,ala,amm-abs,1.0,0.0566992557903889
bayanus,met,akashi,34.3,0.0217350969800289
bayanus,met,sul-rel,0.0507,0.0217350969800289
bayanus,met,weight,149.2,0.0217350969800289
bayanus,met,glu-abs,1.25002,0.0217350969800289
bayanus,met,sul-abs,1.0,0.0217350969800289
bayanus,met,amm-rel,0.050702667,0.0217350969800289
bayanus,met,glu-rel,0.063376,0.0217350969800289
bayanus,met,amm-abs,1.0,0.0217350969800289
bayanus,asn,akashi,14.7,0.0581106523986554
bayanus,asn,sul-rel,0.0,0.0581106523986554
bayanus,asn,weight,132.1,0.0581106523986554
bayanus,asn,glu-abs,0.785703333,0.0581106523986554
bayanus,asn,sul-abs,0.0,0.0581106523986554
bayanus,asn,amm-rel,0.203331333,0.0581106523986554
bayanus,asn,glu-rel,0.079906333,0.0581106523986554
bayanus,asn,amm-abs,2.0,0.0581106523986554
bayanus,cys,akashi,24.7,0.0143333949514244
bayanus,cys,sul-rel,0.006599967,0.0143333949514244
bayanus,cys,weight,121.2,0.0143333949514244
bayanus,cys,glu-abs,0.749223333,0.0143333949514244
bayanus,cys,sul-abs,1.0,0.0143333949514244
bayanus,cys,amm-rel,0.0066015,0.0143333949514244
bayanus,cys,glu-rel,0.004944867,0.0143333949514244
bayanus,cys,amm-abs,1.0,0.0143333949514244
bayanus,tyr,akashi,50.0,0.0326168518632626
bayanus,tyr,sul-rel,0.0,0.0326168518632626
bayanus,tyr,weight,181.2,0.0326168518632626
bayanus,tyr,glu-abs,1.773826667,0.0326168518632626
bayanus,tyr,sul-abs,0.0,0.0326168518632626
bayanus,tyr,amm-rel,0.102003333,0.0326168518632626
bayanus,tyr,glu-rel,0.180930333,0.0326168518632626
bayanus,tyr,amm-abs,1.0,0.0326168518632626
bayanus,asp,akashi,12.7,0.0576009338564025
bayanus,asp,sul-rel,0.0,0.0576009338564025
bayanus,asp,weight,133.1,0.0576009338564025
bayanus,asp,glu-abs,0.614283333,0.0576009338564025
bayanus,asp,sul-abs,0.0,0.0576009338564025
bayanus,asp,amm-rel,0.297499,0.0576009338564025
bayanus,asp,glu-rel,0.182749,0.0576009338564025
bayanus,asp,amm-abs,1.0,0.0576009338564025
bayanus,pro,akashi,20.3,0.0444136353989087
bayanus,pro,sul-rel,0.0,0.0444136353989087
bayanus,pro,weight,115.1,0.0444136353989087
bayanus,pro,glu-abs,0.994126667,0.0444136353989087
bayanus,pro,sul-abs,0.0,0.0444136353989087
bayanus,pro,amm-rel,0.164700333,0.0444136353989087
bayanus,pro,glu-rel,0.163732667,0.0444136353989087
bayanus,pro,amm-abs,1.0,0.0444136353989087
bayanus,glu,akashi,15.3,0.0628901623294377
bayanus,glu,sul-rel,0.0,0.0628901623294377
bayanus,glu,weight,147.1,0.0628901623294377
bayanus,glu,glu-abs,0.864303333,0.0628901623294377
bayanus,glu,sul-abs,0.0,0.0628901623294377
bayanus,glu,amm-rel,0.3018,0.0628901623294377
bayanus,glu,glu-rel,0.260846667,0.0628901623294377
bayanus,glu,amm-abs,1.0,0.0628901623294377
bayanus,gln,akashi,16.3,0.0392757135717269
bayanus,gln,sul-rel,0.0,0.0392757135717269
bayanus,gln,weight,146.2,0.0392757135717269
bayanus,gln,glu-abs,0.921453333,0.0392757135717269
bayanus,gln,sul-abs,0.0,0.0392757135717269
bayanus,gln,amm-rel,0.210799333,0.0392757135717269
bayanus,gln,glu-rel,0.097121333,0.0392757135717269
bayanus,gln,amm-abs,2.0,0.0392757135717269
bayanus,phe,akashi,52.0,0.045936286893832
bayanus,phe,sul-rel,0.0,0.045936286893832
bayanus,phe,weight,165.2,0.045936286893832
bayanus,phe,glu-abs,1.838066667,0.045936286893832
bayanus,phe,sul-abs,0.0,0.045936286893832
bayanus,phe,amm-rel,0.133903333,0.045936286893832
bayanus,phe,glu-rel,0.246117333,0.045936286893832
bayanus,phe,amm-abs,1.0,0.045936286893832
bayanus,arg,akashi,27.3,0.046028029384983
bayanus,arg,sul-rel,0.0,0.046028029384983
bayanus,arg,weight,174.2,0.046028029384983
bayanus,arg,glu-abs,1.392533333,0.046028029384983
bayanus,arg,sul-abs,0.0,0.046028029384983
bayanus,arg,amm-rel,0.6428,0.046028029384983
bayanus,arg,glu-rel,0.223780333,0.046028029384983
bayanus,arg,amm-abs,4.0,0.046028029384983
bayanus,gly,akashi,11.7,0.0510365532209145
bayanus,gly,sul-rel,0.0,0.0510365532209145
bayanus,gly,weight,75.1,0.0510365532209145
bayanus,gly,glu-abs,0.307143667,0.0510365532209145
bayanus,gly,sul-abs,0.0,0.0510365532209145
bayanus,gly,amm-rel,0.2904,0.0510365532209145
bayanus,gly,glu-rel,0.089194333,0.0510365532209145
bayanus,gly,amm-abs,1.0,0.0510365532209145
bayanus,his,akashi,38.3,0.0220123783898508
bayanus,his,sul-rel,0.0,0.0220123783898508
bayanus,his,weight,155.2,0.0220123783898508
bayanus,his,glu-abs,1.46183,0.0220123783898508
bayanus,his,sul-abs,0.0,0.0220123783898508
bayanus,his,amm-rel,0.198888667,0.0220123783898508
bayanus,his,glu-rel,0.096919333,0.0220123783898508
bayanus,his,amm-abs,3.0,0.0220123783898508
bayanus,ser,akashi,11.7,0.090633707834398
bayanus,ser,sul-rel,0.0,0.090633707834398
bayanus,ser,weight,105.1,0.090633707834398
bayanus,ser,glu-abs,0.492863333,0.090633707834398
bayanus,ser,sul-abs,0.0,0.090633707834398
bayanus,ser,amm-rel,0.185400667,0.090633707834398
bayanus,ser,glu-rel,0.091376667,0.090633707834398
bayanus,ser,amm-abs,1.0,0.090633707834398
bayanus,ile,akashi,32.3,0.0631280766255195
bayanus,ile,sul-rel,0.0,0.0631280766255195
bayanus,ile,weight,131.2,0.0631280766255195
bayanus,ile,glu-abs,1.207136667,0.0631280766255195
bayanus,ile,sul-abs,0.0,0.0631280766255195
bayanus,ile,amm-rel,0.192701667,0.0631280766255195
bayanus,ile,glu-rel,0.232615,0.0631280766255195
bayanus,ile,amm-abs,1.0,0.0631280766255195
bayanus,thr,akashi,18.7,0.0585334209679517
bayanus,thr,sul-rel,0.0,0.0585334209679517
bayanus,thr,weight,119.1,0.0585334209679517
bayanus,thr,glu-abs,0.685786667,0.0585334209679517
bayanus,thr,sul-abs,0.0,0.0585334209679517
bayanus,thr,amm-rel,0.191402,0.0585334209679517
bayanus,thr,glu-rel,0.13126,0.0585334209679517
bayanus,thr,amm-abs,1.0,0.0585334209679517
castellii,val,akashi,23.3,0.0547028924888734
castellii,val,sul-rel,0.0,0.0547028924888734
castellii,val,weight,117.2,0.0547028924888734
castellii,val,glu-abs,0.957186667,0.0547028924888734
castellii,val,sul-abs,0.0,0.0547028924888734
castellii,val,amm-rel,0.264669333,0.0547028924888734
castellii,val,glu-rel,0.253271667,0.0547028924888734
castellii,val,amm-abs,1.0,0.0547028924888734
castellii,lys,akashi,30.3,0.0736013796823227
castellii,lys,sul-rel,0.0,0.0736013796823227
castellii,lys,weight,146.2,0.0736013796823227
castellii,lys,glu-abs,1.314213333,0.0736013796823227
castellii,lys,sul-abs,0.0,0.0736013796823227
castellii,lys,amm-rel,0.5724,0.0736013796823227
castellii,lys,glu-rel,0.376126667,0.0736013796823227
castellii,lys,amm-abs,2.0,0.0736013796823227
castellii,leu,akashi,27.3,0.0966348771735751
castellii,leu,sul-rel,0.0,0.0966348771735751
castellii,leu,weight,131.2,0.0966348771735751
castellii,leu,glu-abs,1.207193333,0.0966348771735751
castellii,leu,sul-abs,0.0,0.0966348771735751
castellii,leu,amm-rel,0.296398667,0.0966348771735751
castellii,leu,glu-rel,0.357813333,0.0966348771735751
castellii,leu,amm-abs,1.0,0.0966348771735751
castellii,ala,akashi,11.7,0.052283037568516
castellii,ala,sul-rel,0.0,0.052283037568516
castellii,ala,weight,89.1,0.052283037568516
castellii,ala,glu-abs,0.5,0.052283037568516
castellii,ala,sul-abs,0.0,0.052283037568516
castellii,ala,amm-rel,0.4588,0.052283037568516
castellii,ala,glu-rel,0.229400333,0.052283037568516
castellii,ala,amm-abs,1.0,0.052283037568516
castellii,trp,akashi,74.3,0.010218358088714
castellii,trp,sul-rel,0.0,0.010218358088714
castellii,trp,weight,204.2,0.010218358088714
castellii,trp,glu-abs,2.392936667,0.010218358088714
castellii,trp,sul-abs,0.0,0.010218358088714
castellii,trp,amm-rel,0.0568,0.010218358088714
castellii,trp,glu-rel,0.067959333,0.010218358088714
castellii,trp,amm-abs,2.0,0.010218358088714
castellii,met,akashi,34.3,0.0217426219117326
castellii,met,sul-rel,0.0507,0.0217426219117326
castellii,met,weight,149.2,0.0217426219117326
castellii,met,glu-abs,1.25002,0.0217426219117326
castellii,met,sul-abs,1.0,0.0217426219117326
castellii,met,amm-rel,0.050702667,0.0217426219117326
castellii,met,glu-rel,0.063376,0.0217426219117326
castellii,met,amm-abs,1.0,0.0217426219117326
castellii,asn,akashi,14.7,0.0628045753508897
castellii,asn,sul-rel,0.0,0.0628045753508897
castellii,asn,weight,132.1,0.0628045753508897
castellii,asn,glu-abs,0.785703333,0.0628045753508897
castellii,asn,sul-abs,0.0,0.0628045753508897
castellii,asn,amm-rel,0.203331333,0.0628045753508897
castellii,asn,glu-rel,0.079906333,0.0628045753508897
castellii,asn,amm-abs,2.0,0.0628045753508897
castellii,tyr,akashi,50.0,0.0327550016060794
castellii,tyr,sul-rel,0.0,0.0327550016060794
castellii,tyr,weight,181.2,0.0327550016060794
castellii,tyr,glu-abs,1.773826667,0.0327550016060794
castellii,tyr,sul-abs,0.0,0.0327550016060794
castellii,tyr,amm-rel,0.102003333,0.0327550016060794
castellii,tyr,glu-rel,0.180930333,0.0327550016060794
castellii,tyr,amm-abs,1.0,0.0327550016060794
castellii,cys,akashi,24.7,0.0115371468128342
castellii,cys,sul-rel,0.006599967,0.0115371468128342
castellii,cys,weight,121.2,0.0115371468128342
castellii,cys,glu-abs,0.749223333,0.0115371468128342
castellii,cys,sul-abs,1.0,0.0115371468128342
castellii,cys,amm-rel,0.0066015,0.0115371468128342
castellii,cys,glu-rel,0.004944867,0.0115371468128342
castellii,cys,amm-abs,1.0,0.0115371468128342
castellii,asp,akashi,12.7,0.0601000063556083
castellii,asp,sul-rel,0.0,0.0601000063556083
castellii,asp,weight,133.1,0.0601000063556083
castellii,asp,glu-abs,0.614283333,0.0601000063556083
castellii,asp,sul-abs,0.0,0.0601000063556083
castellii,asp,amm-rel,0.297499,0.0601000063556083
castellii,asp,glu-rel,0.182749,0.0601000063556083
castellii,asp,amm-abs,1.0,0.0601000063556083
castellii,glu,akashi,15.3,0.0676782103981187
castellii,glu,sul-rel,0.0,0.0676782103981187
castellii,glu,weight,147.1,0.0676782103981187
castellii,glu,glu-abs,0.864303333,0.0676782103981187
castellii,glu,sul-abs,0.0,0.0676782103981187
castellii,glu,amm-rel,0.3018,0.0676782103981187
castellii,glu,glu-rel,0.260846667,0.0676782103981187
castellii,glu,amm-abs,1.0,0.0676782103981187
castellii,pro,akashi,20.3,0.0442749710991595
castellii,pro,sul-rel,0.0,0.0442749710991595
castellii,pro,weight,115.1,0.0442749710991595
castellii,pro,glu-abs,0.994126667,0.0442749710991595
castellii,pro,sul-abs,0.0,0.0442749710991595
castellii,pro,amm-rel,0.164700333,0.0442749710991595
castellii,pro,glu-rel,0.163732667,0.0442749710991595
castellii,pro,amm-abs,1.0,0.0442749710991595
castellii,phe,akashi,52.0,0.043567265525291
castellii,phe,sul-rel,0.0,0.043567265525291
castellii,phe,weight,165.2,0.043567265525291
castellii,phe,glu-abs,1.838066667,0.043567265525291
castellii,phe,sul-abs,0.0,0.043567265525291
castellii,phe,amm-rel,0.133903333,0.043567265525291
castellii,phe,glu-rel,0.246117333,0.043567265525291
castellii,phe,amm-abs,1.0,0.043567265525291
castellii,gln,akashi,16.3,0.0403632659581595
castellii,gln,sul-rel,0.0,0.0403632659581595
castellii,gln,weight,146.2,0.0403632659581595
castellii,gln,glu-abs,0.921453333,0.0403632659581595
castellii,gln,sul-abs,0.0,0.0403632659581595
castellii,gln,amm-rel,0.210799333,0.0403632659581595
castellii,gln,glu-rel,0.097121333,0.0403632659581595
castellii,gln,amm-abs,2.0,0.0403632659581595
castellii,arg,akashi,27.3,0.0429153862406233
castellii,arg,sul-rel,0.0,0.0429153862406233
castellii,arg,weight,174.2,0.0429153862406233
castellii,arg,glu-abs,1.392533333,0.0429153862406233
castellii,arg,sul-abs,0.0,0.0429153862406233
castellii,arg,amm-rel,0.6428,0.0429153862406233
castellii,arg,glu-rel,0.223780333,0.0429153862406233
castellii,arg,amm-abs,4.0,0.0429153862406233
castellii,gly,akashi,11.7,0.0486994192348191
castellii,gly,sul-rel,0.0,0.0486994192348191
castellii,gly,weight,75.1,0.0486994192348191
castellii,gly,glu-abs,0.307143667,0.0486994192348191
castellii,gly,sul-abs,0.0,0.0486994192348191
castellii,gly,amm-rel,0.2904,0.0486994192348191
castellii,gly,glu-rel,0.089194333,0.0486994192348191
castellii,gly,amm-abs,1.0,0.0486994192348191
castellii,ser,akashi,11.7,0.0857693635631258
castellii,ser,sul-rel,0.0,0.0857693635631258
