reaction,resp,ferm,
13BGH,0,0,
13BGHe,0,0,
13GS,0.34044,0.34044,
2DDA7Ptm,0,0,
2DHPtm,0,4.98185e-12,
2MCITtm,0,0,
2OHPH_5tn,0,0,
2OMPH_5tm,0,0,
2OMPH_5tn,0,0,
2OXOADPtim,0.08586,0.08586,
34HPPOR,0,0,
34HPPt2m,-1000,-988.631,
34HPPt2p,1.90255e-13,0,
3C3HMPtm,0,0,
3C4MOPtm,0,0,
3DSPHR,0,0,
3HAO,0,0,
3MOBtm,-0.1683,-0.1683,
3MOPtm,-0.05781,-0.05781,
3OPHB_5tm,0,0,
4ABUTNtm,0,0,
4ABUTtm,0,0,
4ABZtm,0,0,
4H2OGLTtm,0,0,
4H2OGLTtp,0,0,
4HBZtm,0,0,
4HGLSDm,-1.53549e-13,-1.53549e-13,
4HPRO_LTtm,0,0,
4HTHRS,0,0,
5AOPt2,0,0,
5AOPtm,0,0,
5MTHFtm,0,0,
6PGLter,-0.00087,-0.00087,
8AONNt2,0,0,
AABTN,0,0,
AASAD1,0.08586,0,
AASAD2,0,0.08586,
AATA,0.08586,0.08586,
ABTA,0,0,
ABTt,0,0,
ABUTDm,0,0,
ABUTt2,0,0,
ACACT1,0.00396,0.00396,
ACACT1m,0,0,
ACACT4p,0,0,
ACACT5p,0,0,
ACACT6p,0,0,
ACACT7p,0,0,
ACACT8p,0,0,
ACACT9p,0,0,
ACALDt,0,0,
ACCOACr,0.11928,0.11928,
ACGAM6PS,0,0,
ACGAMPM,0,0,
ACGKm,0.07953,0.04821,
ACGSm,0,0,
ACHBSm,0.05781,0.05781,
ACLSm,0.1683,0.1683,
ACOAH,0.25407,0.69378,
ACOAO4p,0,0,
ACOAO5p,0,0,
ACOAO6p,0,0,
ACOAO7p,0,0,
ACOAO8p,0,0,
ACOAO9p,0,0,
ACOATA,0,0,
ACOATAm,0,0,
ACONT,1000,1000,
ACONTm,-999.694,-999.646,
ACOTAim,0.07953,0.04821,
ACP1e,0,0,
ACPSm,0,0,
ACRNtm,0,0,
ACRNtp,0,0,
ACS,0,0,
ACSm,0,0,
ACSp,0,0,
ACt2r,0,0,
ACtm,0,-3.82984e-13,
ACtp,-3.9391e-13,-1.7726e-12,
ADA,0,0,
ADCL,0,0,
ADCS,0,0,
ADD,0,0,
ADEt2,0,0,
ADEtm,1.91526e-13,1.91526e-13,
ADHAPR_SC,0,0,
ADK1,-1000,0.591,
ADK1m,9.21184e-13,-7.92218e-12,
ADK3,999.723,999.723,
ADK3m,0,0,
ADK4,0.591,-1000,
ADK4m,0,0,
ADMDC,0,0,
ADNCYC,0,0,
ADNK1,0.00561,0.00561,
ADNUC,0,0,
ADNt2,0,0,
ADPT,0,0,
ADSK,0.01719,0.01719,
ADSL1r,0.03477,0.03477,
ADSL2r,0.0294,0.0294,
ADSS,0.03477,0.03477,
AGAT_SC,0.00741,0.00741,
AGPRim,0.07953,0.04821,
AGT,2.22346e-13,6.2257e-12,
AHCYStm,0,0,
AHCYStn,0,0,
AHCi,0.00561,0.00561,
AHMMPS,0,0,
AHSERL,0,0,
AHSERL2,0.01521,0.01521,
AICART,0.04929,0.04929,
AIRCr,0.0294,0.0294,
AKGDam,0,0.04821,
AKGDbm,0,0.04821,
AKGMAL,1000,-1000,
AKGt2n,0,0,
AKGt2r,1000,-1000,
AKP1,0,0,
ALASm,0,0,
ALATA_L,-0.13764,-0.13764,
ALATA_Lm,0,0,
ALATRS,0,0,
ALAt2r,0,-2.10811e-12,
ALCD19y,0,0,
ALCD2m,0,0,
ALCD2x,-1.28865e-13,-1.28865e-13,
ALDD19x,0,0,
ALDD20xm,0,0,
ALDD20y,0,0,
ALDD20ym,0,0,
ALDD2xm,0,0,
ALDD2y,0.23688,0.67659,
ALDD2ym,0,0,
ALLTAHr,0,6.09868e-12,
ALLTNr,0,-3.44708e-12,
ALLTNti,0,-3.34802e-12,
ALLTTti,0,8.97052e-12,
ALPHNH,0,0,
AM6SAD,0,0,
AMAOTr,0,0,
AMETt2,0,0,
AMETtm,0,0,
AMETtn,0,0,
AMID,0,0,
AMID2,0,0,
AMID3,0,0,
AMPDA,0,0,
AMPN,0,0,
ANPRT,0.00852,0.00852,
ANS,0.00852,0.00852,
AP4AHr,0,0,
APRAUR,0,0,
APRTO2,0,0,
ARAB1D1,0,0,
ARAB1D2,0,0,
ARABR,0,0,
ARAB_Dt,0,0,
ARAB_Lt,0,0,
ARGN,0,0,
ARGSL,0.04821,0.04821,
ARGSSr,0.04821,0.04821,
ARGTRS,0,0,
ARGTRSm,0,0,
ARGt2m,0,0,
ARGt2r,0,4.10297e-13,
ARMT,0,0,
ASADi,0.01521,0.01521,
ASNN,0,0,
ASNNe,0,0,
ASNS1,0.03051,0.03051,
ASNTRS,0,0,
ASNTRSm,0,0,
ASNt2m,0,0,
ASNt2r,0,0,
ASP1DC,0,0,
ASPCTn,0.03318,0.03318,
ASPGLUtp,0,0,
ASPKi,0.01521,0.01521,
ASPOcm,0,0,
ASPTA,999.42,988.083,
ASPTAm,-999.701,-988.363,
ASPTAp,1.26036e-13,1.26036e-13,
ASPTRS,0,0,
ASPTRSm,0,0,
ASPt2m,-999.701,-988.363,
ASPt2n,0.03318,0.03318,
ASPt2r,0,0,
ATP2tp_H,0,0,
ATPATF1,0,0,
ATPATF2,0,0,
ATPATF3,0,0,
ATPM,0,0,
ATPPRT,0.01989,0.01989,
ATPS,1.57206,1.57206,
ATPS3g,0,0,
ATPS3m,16.765,0,
ATPS3v,0,0,
ATPtm_H,16.6854,0,
ATPtp_H,0,0,
BPNT,0.01719,0.01719,
BTNt2i,0,0,
BTSr,0,0,
C14STR,0.00066,0.00066,
C22STDS,0,0.00021,
C24STRer,0.00021,0.00021,
C3STDH1,0.00066,0.00066,
C3STDH2,0.00066,0.00066,
C3STKR1,0.00066,0.00066,
C3STKR2,0.00066,0.00066,
C4STMO1,0.00066,0.00066,
C4STMO2,0.00066,0.00066,
C5STDS,0,0.00021,
C8STI,0,0.00021,
CAT,0,23.6037,
CATp,0,0,
CBASPtn,2.02185e-13,-4.04371e-13,
CBPS,0.08139,0.08139,
CBPSn,6.77613e-12,0,
CBPtn,0.03318,0.03318,
CDPDGPm_SC,1.42259e-13,1.42259e-13,
CDPtn,0,0,
CERH124,0,0,
