reaction,resp,ferm,
13BGH,0,0,
13BGHe,0,0,
13GS,0.34044,0.34044,
2DDA7Ptm,0,0,
2DHPtm,6.71467e-12,0,
2MCITtm,0,0,
2OHPH_5tn,0,0,
2OMPH_5tm,0,0,
2OMPH_5tn,0,0,
2OXOADPtim,0.08586,0.08586,
34HPPOR,0,0,
34HPPt2m,-997.317,0.0306,
34HPPt2p,0,-1.90255e-13,
3C3HMPtm,0,0,
3C4MOPtm,0,0,
3DSPHR,0,0,
3HAO,0,0,
3MOBtm,-0.1683,-0.1683,
3MOPtm,-0.05781,-0.05781,
3OPHB_5tm,0,0,
4ABUTNtm,0,0,
4ABUTtm,0,0,
4ABZtm,0,0,
4H2OGLTtm,0,0,
4H2OGLTtp,0,0,
4HBZtm,0,0,
4HGLSDm,-1.53549e-13,-1.53549e-13,
4HPRO_LTtm,0,4.41773e-13,
4HTHRS,0,0,
5AOPt2,0,0,
5AOPtm,0,0,
5MTHFtm,0,0,
6PGLter,-0.00087,-0.00087,
8AONNt2,0,0,
AABTN,0,0,
AASAD1,0.08586,0,
AASAD2,0,0.08586,
AATA,0.08586,0.08586,
ABTA,0,0,
ABTt,0,0,
ABUTDm,0,0,
ABUTt2,0,0,
ACACT1,0.00396,0.00396,
ACACT1m,0,0,
ACACT4p,0,0,
ACACT5p,0,0,
ACACT6p,0,0,
ACACT7p,0,0,
ACACT8p,0,0,
ACACT9p,0,0,
ACALDt,0,0,
ACCOACr,0.11928,0.11928,
ACGAM6PS,0,0,
ACGAMPM,0,0,
ACGKm,0.07953,0.04821,
ACGSm,0,0,
ACHBSm,0.05781,0.05781,
ACLSm,0.1683,0.1683,
ACOAH,0.25407,0.812208,
ACOAO4p,0,0,
ACOAO5p,0,0,
ACOAO6p,0,0,
ACOAO7p,0,0,
ACOAO8p,0,0,
ACOAO9p,0,0,
ACOATA,0,0,
ACOATAm,0,0,
ACONT,1000,1000,
ACONTm,-999.694,-999.694,
ACOTAim,0.07953,0.04821,
ACP1e,0,0,
ACPSm,0,0,
ACRNtm,0,0,
ACRNtp,0,0,
ACS,0,0,
ACSm,0,0,
ACSp,0,0,
ACt2r,0,7.9054e-13,
ACtm,8.61715e-12,0,
ACtp,9.84776e-13,-1.18173e-12,
ADA,0,0,
ADCL,0,0,
ADCS,0,0,
ADD,0,0,
ADEt2,-4.23851e-11,0,
ADEtm,1.91526e-13,1.91526e-13,
ADHAPR_SC,0,0,
ADK1,1000,1000,
ADK1m,2.39508e-12,-7.36947e-13,
ADK3,0.31386,0.480498,
ADK3m,0,0,
ADK4,-1000,-1000,
ADK4m,0,0,
ADMDC,0,0,
ADNCYC,0,0,
ADNK1,0.00561,0.00561,
ADNUC,0,0,
ADNt2,0,0,
ADPT,0,0,
ADSK,0.01719,0.183828,
ADSL1r,0.03477,0.03477,
ADSL2r,0.0294,0.0294,
ADSS,0.03477,0.03477,
AGAT_SC,0.00741,0.00741,
AGPRim,0.07953,0.04821,
AGT,-2.43469e-11,-3.33519e-13,
AHCYStm,0,0,
AHCYStn,0,0,
AHCi,0.00561,0.00561,
AHMMPS,0,0,
AHSERL,0,0,
AHSERL2,0.01521,0.181848,
AICART,0.04929,0.04929,
AIRCr,0.0294,0.0294,
AKGDam,0,2.77314e-13,
AKGDbm,0,0,
AKGMAL,1.31176e-13,0,
AKGt2n,-5.24703e-13,0,
AKGt2r,0,-6.55878e-13,
AKP1,0,0,
ALASm,0,0,
ALATA_L,-0.13764,-0.13764,
ALATA_Lm,0,0,
ALATRS,0,0,
ALAt2r,0,-2.63513e-13,
ALCD19y,0,0,
ALCD2m,-8.75229e-12,0,
ALCD2x,8.50507e-12,-24.9776,
ALDD19x,0,0,
ALDD20xm,0,0,
ALDD20y,0,0,
ALDD20ym,0,0,
ALDD2xm,0,0,
ALDD2y,0.23688,0.62838,
ALDD2ym,0,0,
ALLTAHr,-2.6516e-13,-1.3258e-13,
ALLTNr,-5.3032e-13,2.6516e-13,
ALLTNti,0,0,
ALLTTti,0,0,
ALPHNH,0,0,
AM6SAD,0,0,
AMAOTr,0,0,
AMETt2,0,0,
AMETtm,0,0,
AMETtn,0,0,
AMID,0,0,
AMID2,0,0,
AMID3,0,0,
AMPDA,0,0,
AMPN,0,0,
ANPRT,0.00852,0.00852,
ANS,0.00852,0.00852,
AP4AHr,0,0,
APRAUR,0,0,
APRTO2,0,0,
ARAB1D1,0,0,
ARAB1D2,0,0,
ARABR,0,0,
ARAB_Dt,0,-1.08626e-12,
ARAB_Lt,0,1.55181e-13,
ARGN,0,0,
ARGSL,0.04821,0.04821,
ARGSSr,0.04821,0.04821,
ARGTRS,0,0,
ARGTRSm,0,0,
ARGt2m,0,0,
ARGt2r,0,0,
ARMT,0,0,
ASADi,0.01521,0.297078,
ASNN,0,0,
ASNNe,0,0,
ASNS1,0.03051,0.03051,
ASNTRS,0,0,
ASNTRSm,0,0,
ASNt2m,0,0,
ASNt2r,0,0,
ASP1DC,0,0,
ASPCTn,0.03318,0.03318,
ASPGLUtp,1.25751e-12,-6.93205e-11,
ASPKi,0.01521,0.297078,
ASPOcm,0,0,
ASPTA,996.737,-0.860988,
ASPTAm,-997.018,0.29859,
ASPTAp,1.51243e-12,-6.91937e-11,
ASPTRS,0,0,
ASPTRSm,0,0,
ASPt2m,-997.018,0.29859,
ASPt2n,0.03318,0.03318,
ASPt2r,0,-8.67892e-13,
ATP2tp_H,0,0,
ATPATF1,0,0,
ATPATF2,0,0,
ATPATF3,0,0,
ATPM,0,0,
ATPPRT,0.01989,0.01989,
ATPS,1.57206,1.27196,
ATPS3g,0,0,
ATPS3m,16.765,0.04821,
ATPS3v,0,0,
ATPtm_H,16.6854,0,
ATPtp_H,0,0,
BPNT,0.01719,0.183828,
BTNt2i,0,0,
BTSr,0,0,
C14STR,0.00066,0.00066,
C22STDS,0,0,
C24STRer,0.00021,0.00021,
C3STDH1,0.00066,0.00066,
C3STDH2,0.00066,0.00066,
C3STKR1,0.00066,0.00066,
C3STKR2,0.00066,0.00066,
C4STMO1,0.00066,0.00066,
C4STMO2,0.00066,0.00066,
C5STDS,0,0,
C8STI,0,0,
CAT,0,-2.50162e-11,
CATp,0,0,
CBASPtn,6.06556e-13,-4.04371e-13,
CBPS,0.08139,0.08139,
CBPSn,0,0,
