gene,environment,solution,constraint,essential
YGR282C,amm,optimal,zero flux,viable
YBR265W,amm,optimal,zero flux,inviable
YJR025C,amm,optimal,zero flux,viable
YGR019W,amm,optimal,zero flux,viable
YFL017C,amm,optimal,zero flux,inviable
YBL015W,amm,optimal,variable,viable
YPL148C,amm,optimal,zero flux,viable
YLR153C,amm,optimal,zero flux,inviable
YCR032W,amm,optimal,zero flux,viable
YNR033W,amm,optimal,zero flux,viable
YOL052C,amm,optimal,zero flux,viable
YJL005W,amm,optimal,zero flux,inviable
YJR105W,amm,optimal,zero flux,viable
YKL001C,amm,optimal,constrained,viable
YDL052C,amm,optimal,constrained,viable
YFL030W,amm,optimal,zero flux,viable
YER043C,amm,optimal,constrained,inviable
YOR128C,amm,optimal,constrained,viable
YDR481C,amm,optimal,zero flux,viable
YDR232W,amm,optimal,zero flux,inviable
YDR111C,amm,optimal,variable,viable
YLR089C,amm,optimal,zero flux,viable
YOR335C,amm,optimal,zero flux,inviable
YMR083W,amm,optimal,variable,viable
YIR029W,amm,optimal,zero flux,viable
YIR027C,amm,optimal,zero flux,viable
YIR028W,amm,optimal,zero flux,viable
YJR152W,amm,optimal,zero flux,viable
YNR058W,amm,optimal,zero flux,viable
YPL274W,amm,optimal,zero flux,viable
YDR354W,amm,optimal,constrained,viable
YDR305C,amm,optimal,zero flux,viable
YPL111W,amm,optimal,zero flux,viable
YHR018C,amm,optimal,constrained,viable
YOL058W,amm,optimal,constrained,viable
YDR341C,amm,optimal,zero flux,inviable
YHR091C,amm,optimal,zero flux,viable
YBR034C,amm,optimal,zero flux,viable
YDR158W,amm,optimal,variable,viable
YDR321W,amm,optimal,zero flux,viable
YHR019C,amm,optimal,zero flux,inviable
YCR024C,amm,optimal,zero flux,viable
YER052C,amm,optimal,variable,viable
YLL018C,amm,optimal,zero flux,inviable
YPL104W,amm,optimal,zero flux,viable
YDR530C,amm,optimal,zero flux,viable
YER055C,amm,optimal,constrained,viable
YOL064C,amm,optimal,variable,viable
YGR286C,amm,optimal,zero flux,viable
YNL280C,amm,optimal,constrained,viable
YMR015C,amm,optimal,zero flux,viable
YGL012W,amm,optimal,constrained,viable
YLR056W,amm,optimal,zero flux,viable
YMR202W,amm,optimal,zero flux,viable
YGR088W,amm,optimal,variable,viable
YDR256C,amm,optimal,zero flux,viable
YCL004W,amm,optimal,zero flux,inviable
YGR202C,amm,optimal,zero flux,viable
YGL077C,amm,optimal,zero flux,viable
YLR133W,amm,optimal,zero flux,viable
YPR060C,amm,optimal,constrained,viable
YGL148W,amm,optimal,constrained,viable
YDL142C,amm,optimal,zero flux,viable
YDR044W,amm,optimal,zero flux,inviable
YOR100C,amm,optimal,zero flux,viable
YBR132C,amm,optimal,zero flux,viable
YAR035W,amm,optimal,zero flux,viable
YPR062W,amm,optimal,zero flux,viable
YCR005C,amm,optimal,zero flux,viable
YGR012W,amm,optimal,constrained,viable
YAL012W,amm,optimal,at maximum,viable
YFR055W,amm,optimal,zero flux,viable
