gene,environment,solution,flux,essential
YGR282C,amm,optimal,0.0,false
YBR265W,amm,optimal,0.0,true
YJR025C,amm,optimal,0.0,false
YGR019W,amm,optimal,0.0,false
YFL017C,amm,optimal,0.0,true
YBL015W,amm,optimal,0.16515,false
YOL140W,amm,optimal,0.04821,false
YAR071W,amm,optimal,0.0,false
YPL148C,amm,optimal,0.0,false
YLR153C,amm,optimal,0.0,true
YCR032W,amm,optimal,0.0,false
YNR033W,amm,optimal,0.0,false
YOL052C,amm,optimal,0.0,false
YJL005W,amm,optimal,0.0,true
YJR105W,amm,optimal,0.0,false
YKL001C,amm,optimal,0.01719,false
YNL220W,amm,optimal,0.04038,false
YDL052C,amm,optimal,0.00741,false
YFL030W,amm,optimal,0.0,false
YER043C,amm,optimal,0.00561,true
YOR128C,amm,optimal,0.0294,false
YDR481C,amm,optimal,0.0,false
YDR232W,amm,optimal,0.0,true
YDR111C,amm,optimal,-0.13764,false
YLR089C,amm,optimal,0.0,false
YOR335C,amm,optimal,0.0,true
YMR083W,amm,optimal,0.14133,false
YIR029W,amm,optimal,0.0,false
YIR027C,amm,optimal,0.0,false
YIR028W,amm,optimal,0.0,false
YJR152W,amm,optimal,0.0,false
YNR058W,amm,optimal,0.0,false
YPL274W,amm,optimal,0.0,false
YDR354W,amm,optimal,0.00852,false
YDR305C,amm,optimal,0.0,false
YPL111W,amm,optimal,0.0,false
YHR018C,amm,optimal,0.04821,false
YOL058W,amm,optimal,0.04821,false
YDR341C,amm,optimal,0.0,true
YHR091C,amm,optimal,0.0,false
YBR034C,amm,optimal,0.0,false
YDR158W,amm,optimal,0.01521,false
YDR321W,amm,optimal,0.0,false
YHR019C,amm,optimal,0.0,true
YCR024C,amm,optimal,0.0,false
YER052C,amm,optimal,0.01521,false
YLL018C,amm,optimal,0.0,true
YPL104W,amm,optimal,0.0,false
YDR530C,amm,optimal,0.0,false
YER055C,amm,optimal,0.01989,false
YOL064C,amm,optimal,0.01719,false
YGR286C,amm,optimal,0.0,false
YNL280C,amm,optimal,0.00066,false
YMR015C,amm,optimal,0.0,false
YGL012W,amm,optimal,0.00021,false
YLR056W,amm,optimal,0.0,false
YMR202W,amm,optimal,0.0,false
YGR088W,amm,optimal,500.0,false
YDR256C,amm,optimal,0.0,false
YCL004W,amm,optimal,0.0,true
YGR202C,amm,optimal,0.0,false
YGL077C,amm,optimal,0.0,false
YLR133W,amm,optimal,0.0,false
YPR060C,amm,optimal,0.07077,false
YGL148W,amm,optimal,0.07929,false
YDL142C,amm,optimal,0.0,false
YDR044W,amm,optimal,0.0,true
YOR100C,amm,optimal,0.0,false
YBR132C,amm,optimal,0.0,false
YAR035W,amm,optimal,0.0,false
YPR062W,amm,optimal,0.0,false
YCR005C,amm,optimal,0.0,false
YGR012W,amm,optimal,0.00198,false
YAL012W,amm,optimal,1000.0,false
YFR055W,amm,optimal,0.0,false
YGL184C,amm,optimal,0.0,false
YNL247W,amm,optimal,0.0,true
YGR155W,amm,optimal,0.0,false
YNR057C,amm,optimal,0.0,false
YLR420W,amm,optimal,0.0,false
YLR172C,amm,optimal,0.0,false
YOL096C,amm,optimal,0.0,false
YDL100C,amm,optimal,0.0,false
YMR013C,amm,optimal,0.0,true
YPR183W,amm,optimal,0.24237,true
YNR043W,amm,optimal,0.00396,true
YHR063C,amm,optimal,0.0,false
YJR057W,amm,optimal,0.0,true
YBR252W,amm,optimal,0.0,true
YHR068W,amm,optimal,0.0,true
YDL174C,amm,optimal,0.0,false
YDR147W,amm,optimal,0.0,false
YIL134W,amm,optimal,5.55112e-17,false
YLR372W,amm,optimal,0.0,false
YLR377C,amm,optimal,47.6383,false
YJL155C,amm,optimal,0.0,false
YOR176W,amm,optimal,0.0,true
YBL013W,amm,optimal,0.0,false
YDL045C,amm,optimal,5.55112e-17,true
YEL047C,amm,optimal,0.0,false
YJR051W,amm,optimal,0.0,false
YER183C,amm,optimal,0.0,false
YDL022W,amm,optimal,0.31425,false
YOL059W,amm,optimal,0.0,false
YIL155C,amm,optimal,0.31425,false
YNL241C,amm,optimal,499.353,false
YBR020W,amm,optimal,0.0,false
YDR408C,amm,optimal,0.0294,false
YEL011W,amm,optimal,0.0,false
YLR058C,amm,optimal,-999.768,false
YBR263W,amm,optimal,1000.0,false
YPR160W,amm,optimal,0.0,false
YPR035W,amm,optimal,0.24525,true
YOR168W,amm,optimal,0.0,true
YLR195C,amm,optimal,0.0,true
YDR300C,amm,optimal,0.04941,false
YJL101C,amm,optimal,0.0,false
YMR250W,amm,optimal,0.0,false
YDL215C,amm,optimal,997.047,false
YMR300C,amm,optimal,0.0294,false
YDL171C,amm,optimal,0.0,false
YGL245W,amm,optimal,0.0,true
YOL033W,amm,optimal,0.0,false
YLL043W,amm,optimal,0.0,false
YHL032C,amm,optimal,0.0,false
YDR272W,amm,optimal,0.0,false
YOR040W,amm,optimal,0.0,false
YMR217W,amm,optimal,0.01452,false
YPL091W,amm,optimal,0.0,false
YOL049W,amm,optimal,0.0,false
YLR299W,amm,optimal,0.0,false
YBL033C,amm,optimal,0.0,false
YGR267C,amm,optimal,0.0,true
YDR234W,amm,optimal,0.08586,false
YIL094C,amm,optimal,0.08586,false
YFR025C,amm,optimal,0.01989,false
YDL205C,amm,optimal,0.0,true
YNL277W,amm,optimal,0.01521,false
YHR025W,amm,optimal,0.0,false
YIL116W,amm,optimal,0.01989,false
YLR174W,amm,optimal,0.17157,false
YDL066W,amm,optimal,0.13407,false
YNL009W,amm,optimal,0.0,false
YER065C,amm,optimal,0.0,false
YBR248C,amm,optimal,0.01989,false
YOR202W,amm,optimal,0.01989,false
YBL076C,amm,optimal,0.0,true
YPL040C,amm,optimal,0.0,false
YDR380W,amm,optimal,0.0,false
YPL117C,amm,optimal,0.00132,true
YCL018W,amm,optimal,0.08892,false
YBL098W,amm,optimal,0.0,false
YPL160W,amm,optimal,0.0,true
YLR382C,amm,optimal,0.0,false
YML004C,amm,optimal,0.0,false
YHR007C,amm,optimal,0.00066,true
YHR072W,amm,optimal,0.00066,true
YDR037W,amm,optimal,0.0,true
YNL073W,amm,optimal,0.0,false
YML054C,amm,optimal,0.0,false
YDL055C,amm,optimal,0.24237,true
YER003C,amm,optimal,-0.24237,true
YPR006C,amm,optimal,0.0,false
YOL126C,amm,optimal,0.8256,false
YKL085W,amm,optimal,-0.70761,false
YDL078C,amm,optimal,0.0,false
YJR130C,amm,optimal,0.0,false
YGR264C,amm,optimal,0.0,true
YGR171C,amm,optimal,0.0,false
YHR046C,amm,optimal,0.00159,false
YJL153C,amm,optimal,0.00159,false
YLL061W,amm,optimal,0.0,false
YBR176W,amm,optimal,0.0,false
YKR080W,amm,optimal,0.0,false
YGL067W,amm,optimal,0.0,false
YLR138W,amm,optimal,0.0,false
YEL042W,amm,optimal,0.0,false
YGR010W,amm,optimal,0.0,false
YKL120W,amm,optimal,-998.701,false
YJL088W,amm,optimal,0.04821,false
YPL266W,amm,optimal,0.0,true
YML110C,amm,optimal,0.0,false
YGR255C,amm,optimal,0.0,false
YEL021W,amm,optimal,0.03318,false
YDR538W,amm,optimal,0.0,false
YKL184W,amm,optimal,0.0,false
YLR438W,amm,optimal,0.0,false
YOR130C,amm,optimal,0.04821,false
YIL145C,amm,optimal,0.0,false
YPR167C,amm,optimal,0.01719,false
YKR093W,amm,optimal,0.0,false
YGR007W,amm,optimal,0.0,false
YGR157W,amm,optimal,0.0018,false
YCR012W,amm,optimal,-71.0924,true
YPR047W,amm,optimal,0.0,false
YPL268W,amm,optimal,0.0,false
YPR113W,amm,optimal,0.00159,true
YJR077C,amm,optimal,999.121,false
YER053C,amm,optimal,-1000.0,false
YFL045C,amm,optimal,-0.24237,true
YMR220W,amm,optimal,0.00396,true
YDR531W,amm,optimal,0.0,true
YCR028C,amm,optimal,0.0,false
YBR011C,amm,optimal,1.05018,true
YMR267W,amm,optimal,0.0,false
YGL040C,amm,optimal,0.0,true
YKR097W,amm,optimal,0.0,false
YBR166C,amm,optimal,0.0306,false
YNL316C,amm,optimal,0.04017,false
YER014W,amm,optimal,0.0,false
YDR007W,amm,optimal,0.00852,false
YAR015W,amm,optimal,0.0294,false
YGR061C,amm,optimal,0.0294,false
YIL020C,amm,optimal,0.01989,false
YLR142W,amm,optimal,0.0,false
YNL169C,amm,optimal,0.00315,false
YGR208W,amm,optimal,0.30153,false
YOL143C,amm,optimal,0.0,false
YBR256C,amm,optimal,0.0,true
YJL121C,amm,optimal,332.815,false
YOR095C,amm,optimal,-166.538,true
YNR050C,amm,optimal,0.08586,false
YIR034C,amm,optimal,0.08586,false
YJR010W,amm,optimal,0.0,false
YML008C,amm,optimal,0.0,false
YJL068C,amm,optimal,0.0,false
YML082W,amm,optimal,-1000.0,false
YPR069C,amm,optimal,0.0,false
YLR146C,amm,optimal,0.0,false
YGR175C,amm,optimal,0.00066,true
YHR190W,amm,optimal,0.00066,true
YBR006W,amm,optimal,0.0,false
YJR095W,amm,optimal,0.0,false
YIL162W,amm,optimal,0.0,false
YEL046C,amm,optimal,0.11523,false
YER086W,amm,optimal,0.05781,false
YIL078W,amm,optimal,0.0,true
YKL194C,amm,optimal,0.0,false
YOR074C,amm,optimal,0.00108,true
YDR050C,amm,optimal,-47.6457,true
YDR353W,amm,optimal,0.02079,true
YHR106W,amm,optimal,0.0,false
YPR026W,amm,optimal,0.0,false
YJR078W,amm,optimal,0.0,false
YGL026C,amm,optimal,0.00852,false
YOL097C,amm,optimal,0.0,true
YDR268W,amm,optimal,0.0,false
YGR185C,amm,optimal,0.0,true
YPL097W,amm,optimal,0.0,false
YDL103C,amm,optimal,0.0,true
YBR019C,amm,optimal,0.0,false
YIR032C,amm,optimal,0.0,false
YKR069W,amm,optimal,0.0,false
YOR278W,amm,optimal,0.0,true
YDR047W,amm,optimal,0.0,true
YHR128W,amm,optimal,0.0,true
YBR021W,amm,optimal,0.0,false
YHL016C,amm,optimal,0.0,false
YBL042C,amm,optimal,0.0,false
YJR133W,amm,optimal,0.0,false
YGR194C,amm,optimal,0.0,false
YLR070C,amm,optimal,0.0,false
YGR282C,amm,suboptimal,0.0,false
YBR265W,amm,suboptimal,0.0,true
YJR025C,amm,suboptimal,0.0,false
YGR019W,amm,suboptimal,0.0,false
YFL017C,amm,suboptimal,0.0,true
YBL015W,amm,suboptimal,0.687514,false
YOL140W,amm,suboptimal,771.45,false
YAR071W,amm,suboptimal,0.0,false
YPL148C,amm,suboptimal,1.38778e-17,false
YLR153C,amm,suboptimal,0.0,true
YCR032W,amm,suboptimal,0.0,false
YNR033W,amm,suboptimal,0.0,false
YOL052C,amm,suboptimal,0.0,false
YJL005W,amm,suboptimal,0.0,true
YJR105W,amm,suboptimal,0.00561,false
YKL001C,amm,suboptimal,0.01719,false
YNL220W,amm,suboptimal,0.03477,false
YDL052C,amm,suboptimal,0.00741,false
YFL030W,amm,suboptimal,0.0,false
YER043C,amm,suboptimal,0.00561,true
YOR128C,amm,suboptimal,0.0294,false
YDR481C,amm,suboptimal,0.0,false
YDR232W,amm,suboptimal,0.0,true
YDR111C,amm,suboptimal,-0.13764,false
YLR089C,amm,suboptimal,0.0,false
YOR335C,amm,suboptimal,0.0,true
YMR083W,amm,suboptimal,0.670324,false
YIR029W,amm,suboptimal,0.0,false
YIR027C,amm,suboptimal,0.0,false
YIR028W,amm,suboptimal,0.0,false
YJR152W,amm,suboptimal,0.0,false
YNR058W,amm,suboptimal,0.0,false
YPL274W,amm,suboptimal,0.0,false
YDR354W,amm,suboptimal,0.00852,false
YDR305C,amm,suboptimal,0.0,false
YPL111W,amm,suboptimal,2.25218e-12,false
YHR018C,amm,suboptimal,0.04821,false
YOL058W,amm,suboptimal,0.04821,false
YDR341C,amm,suboptimal,0.0,true
YHR091C,amm,suboptimal,0.0,false
YBR034C,amm,suboptimal,0.0,false
YDR158W,amm,suboptimal,0.01521,false
YDR321W,amm,suboptimal,0.0,false
YHR019C,amm,suboptimal,0.0,true
YCR024C,amm,suboptimal,0.0,false
YER052C,amm,suboptimal,0.01521,false
YLL018C,amm,suboptimal,0.0,true
YPL104W,amm,suboptimal,0.0,false
YDR530C,amm,suboptimal,0.0,false
YER055C,amm,suboptimal,0.01989,false
YOL064C,amm,suboptimal,0.01719,false
YGR286C,amm,suboptimal,0.0,false
YNL280C,amm,suboptimal,0.00066,false
YMR015C,amm,suboptimal,0.00021,false
YGL012W,amm,suboptimal,0.00021,false
YLR056W,amm,suboptimal,0.00021,false
YMR202W,amm,suboptimal,0.00021,false
YGR088W,amm,suboptimal,0.0,false
YDR256C,amm,suboptimal,0.0,false
YCL004W,amm,suboptimal,0.0,true
YGR202C,amm,suboptimal,0.0,false
YGL077C,amm,suboptimal,0.0,false
YLR133W,amm,suboptimal,0.0,false
YPR060C,amm,suboptimal,0.07077,false
YGL148W,amm,suboptimal,0.07929,false
YDL142C,amm,suboptimal,0.0,false
YDR044W,amm,suboptimal,0.0,true
YOR100C,amm,suboptimal,0.0,false
YBR132C,amm,suboptimal,0.0,false
YAR035W,amm,suboptimal,0.522364,false
YPR062W,amm,suboptimal,0.0,false
YCR005C,amm,suboptimal,0.0,false
YGR012W,amm,suboptimal,0.00198,false
YAL012W,amm,suboptimal,1000.0,false
YFR055W,amm,suboptimal,0.0,false
YGL184C,amm,suboptimal,0.0,false
YNL247W,amm,suboptimal,0.0,true
YGR155W,amm,suboptimal,0.0,false
YNR057C,amm,suboptimal,0.0,false
YLR420W,amm,suboptimal,0.0,false
YLR172C,amm,suboptimal,0.0,false
YOL096C,amm,suboptimal,0.0,false
YDL100C,amm,suboptimal,0.0,false
YMR013C,amm,suboptimal,0.0,true
YPR183W,amm,suboptimal,0.24237,true
YNR043W,amm,suboptimal,0.00396,true
YHR063C,amm,suboptimal,0.0,false
YJR057W,amm,suboptimal,0.0,true
YBR252W,amm,suboptimal,0.0,true
YHR068W,amm,suboptimal,0.0,true
YDL174C,amm,suboptimal,0.0,false
YDR147W,amm,suboptimal,0.0,false
YIL134W,amm,suboptimal,0.0,false
YLR372W,amm,suboptimal,0.0,false
YLR377C,amm,suboptimal,0.0,false
YJL155C,amm,suboptimal,0.0,false
