gene,environment,solution,sensitivity,essential
YBL015W,amm,optimal,5.51952e-10,viable
YDR111C,amm,optimal,6.55075e-15,viable
YMR083W,amm,optimal,2.87087e-14,viable
YDR158W,amm,optimal,6.58688e-10,viable
YER052C,amm,optimal,6.58688e-10,viable
YOL064C,amm,optimal,-5.0,viable
YGR088W,amm,optimal,5.55654e-13,viable
YLR377C,amm,optimal,4.10998e-13,viable
YDL022W,amm,optimal,7.13799e-11,viable
YIL155C,amm,optimal,1.51989e-10,viable
YNL241C,amm,optimal,5.08032e-14,viable
YLR058C,amm,optimal,9.81556e-15,viable
YDR300C,amm,optimal,-7.59306e-09,viable
YDL215C,amm,optimal,3.66587e-15,viable
YNL277W,amm,optimal,2.37119e-13,viable
YLR174W,amm,optimal,6.43732e-10,viable
YDL066W,amm,optimal,3.94291e-10,viable
YOL126C,amm,optimal,-1.93849e-14,viable
YKL085W,amm,optimal,-1.59277e-15,viable
YKL120W,amm,optimal,-2.2284e-12,viable
YCR012W,amm,optimal,-1.49409e-13,inviable
YJR077C,amm,optimal,2.54301e-14,viable
YBR166C,amm,optimal,-1.1547e-08,viable
YNL169C,amm,optimal,-1.02308e-07,viable
YGR208W,amm,optimal,-1.43203e-10,viable
YJL121C,amm,optimal,1.08366e-17,viable
YOR095C,amm,optimal,3.93071e-12,inviable
YEL046C,amm,optimal,-3.16286e-10,viable
YDR050C,amm,optimal,-7.56959e-17,inviable
YBL015W,amm,suboptimal,3.50803e-14,viable
YJR105W,amm,suboptimal,-1.18551e-13,viable
YKL001C,amm,suboptimal,8.23854e-09,viable
YFL030W,amm,suboptimal,2.2187e-08,viable
YER043C,amm,suboptimal,-1.18551e-13,inviable
YDR111C,amm,suboptimal,6.65197e-08,viable
YMR083W,amm,suboptimal,3.96308e-05,viable
YPL111W,amm,suboptimal,-3.7474e-16,viable
YHR018C,amm,suboptimal,-6.23179e-17,viable
YOL058W,amm,suboptimal,-6.23179e-17,viable
YDR158W,amm,suboptimal,2.33289e-05,viable
YER052C,amm,suboptimal,2.33289e-05,viable
YOL064C,amm,suboptimal,4.59844e-12,viable
YNL280C,amm,suboptimal,3.14122e-13,viable
YMR015C,amm,suboptimal,-7.79195e-09,viable
YGL012W,amm,suboptimal,-0.00332874,viable
YLR056W,amm,suboptimal,-7.79195e-09,viable
YMR202W,amm,suboptimal,-7.79195e-09,viable
YGR088W,amm,suboptimal,4.00002e-08,viable
YNR043W,amm,suboptimal,0.0,inviable
YDL022W,amm,suboptimal,0.000674767,viable
YEL011W,amm,suboptimal,-2.46161e-09,viable
YLR058C,amm,suboptimal,-2.06768e-08,viable
YBR263W,amm,suboptimal,1.71288e-17,viable
YPR035W,amm,suboptimal,6.84941e-07,inviable
YDR300C,amm,suboptimal,-0.000303584,viable
YNL277W,amm,suboptimal,-5.04562e-05,viable
YHR025W,amm,suboptimal,4.33917e-05,viable
YER065C,amm,suboptimal,-6.6561e-08,viable
YPL117C,amm,suboptimal,1.57061e-13,inviable
YHR007C,amm,suboptimal,3.14122e-13,inviable
YHR072W,amm,suboptimal,3.14122e-13,inviable
YOL126C,amm,suboptimal,6.71865e-14,viable
YKL120W,amm,suboptimal,2.01778e-08,viable
YJL088W,amm,suboptimal,-6.23179e-17,viable
YPR167C,amm,suboptimal,8.23854e-09,viable
YJR077C,amm,suboptimal,3.00293e-08,viable
YER053C,amm,suboptimal,-5.00087e-09,viable
YMR220W,amm,suboptimal,0.0,inviable
YBR011C,amm,suboptimal,-4.39653e-07,inviable
YBR166C,amm,suboptimal,-0.000490196,viable
YNL169C,amm,suboptimal,-0.00476199,viable
YGR208W,amm,suboptimal,3.00887e-16,viable
YJL121C,amm,suboptimal,0.000253876,viable
YOR095C,amm,suboptimal,-5.47974e-05,inviable
YML008C,amm,suboptimal,-7.79195e-09,viable
YGR175C,amm,suboptimal,3.14122e-13,inviable
YHR190W,amm,suboptimal,3.14122e-13,inviable
YDR050C,amm,suboptimal,-2.70477e-18,inviable
YDR353W,amm,suboptimal,-1.18436e-13,inviable
YBL015W,glc,optimal,-0.0843737,viable
YJR105W,glc,optimal,-0.0524828,viable
YDR111C,glc,optimal,0.706671,viable
YDR158W,glc,optimal,4.61138e-10,viable
YER052C,glc,optimal,4.61138e-10,viable
YOL064C,glc,optimal,-2.2961,viable
YEL047C,glc,optimal,8.05864e-14,viable
YDL022W,glc,optimal,-2.37275e-12,viable
YLR058C,glc,optimal,2.62645e-08,viable
YBR263W,glc,optimal,-1.17472e-17,viable
YDR300C,glc,optimal,-1.12409e-10,viable
YDL215C,glc,optimal,-6.77196e-14,viable
YNL277W,glc,optimal,1.45236e-11,viable
YDL066W,glc,optimal,-0.0261402,viable
YOL126C,glc,optimal,-4.15578e-15,viable
YKL085W,glc,optimal,1.33176e-15,viable
YKL120W,glc,optimal,-4.01189e-13,viable
YCR012W,glc,optimal,0.148142,inviable
YER053C,glc,optimal,1.18879e-17,viable
YBR166C,glc,optimal,-4.09571e-11,viable
YNL169C,glc,optimal,-0.181644,viable
YGR208W,glc,optimal,-0.0185054,viable
YJL121C,glc,optimal,1.74075,viable
YEL046C,glc,optimal,-0.307081,viable
YDR050C,glc,optimal,-0.999909,inviable
YBL015W,glc,suboptimal,-4.46582e-11,viable
YJR105W,glc,suboptimal,3.41316e-09,viable
YFL030W,glc,suboptimal,1.52145e-11,viable
YDR111C,glc,suboptimal,-2.9015e-09,viable
YDR158W,glc,suboptimal,-0.843236,viable
YER052C,glc,suboptimal,-0.843236,viable
YOL064C,glc,suboptimal,-4.64251e-10,viable
YGR012W,glc,suboptimal,-7.87511e-10,viable
YAL012W,glc,suboptimal,-7.40263e-16,viable
YFR055W,glc,suboptimal,-9.18837e-13,viable
YDL022W,glc,suboptimal,7.90917e-13,viable
YNL241C,glc,suboptimal,-6.69224e-12,viable
YLR058C,glc,suboptimal,-1.59657e-08,viable
YBR263W,glc,suboptimal,-3.74723e-13,viable
YDL215C,glc,suboptimal,-1.84922e-12,viable
YNL277W,glc,suboptimal,0.274968,viable
YDL066W,glc,suboptimal,5.55184e-14,viable
YER065C,glc,suboptimal,-0.000105081,viable
YOL126C,glc,suboptimal,1.06287e-11,viable
YKL085W,glc,suboptimal,-1.17859e-15,viable
YKL120W,glc,suboptimal,-3.60677e-13,viable
YLR438W,glc,suboptimal,1.93755e-09,viable
YOR130C,glc,suboptimal,-2.11322e-10,viable
YCR012W,glc,suboptimal,2.90589e-06,inviable
YER053C,glc,suboptimal,8.88018e-15,viable
YBR166C,glc,suboptimal,1.91526e-13,viable
YNL169C,glc,suboptimal,1.86054e-12,viable
YGR208W,glc,suboptimal,4.78145e-10,viable
YJL121C,glc,suboptimal,-1.65434e-10,viable
YOR095C,glc,suboptimal,-1.08063e-15,inviable
YEL046C,glc,suboptimal,8.64043e-14,viable
YDR050C,glc,suboptimal,-1.63076e-10,inviable
YBL015W,sul,optimal,4.18898e-10,viable
YDR111C,sul,optimal,7.2653e-05,viable
YMR083W,sul,optimal,0.00021227,viable
YDR158W,sul,optimal,1.13604e-09,viable
YER052C,sul,optimal,1.13604e-09,viable
YOL064C,sul,optimal,-0.000581729,viable
YGR088W,sul,optimal,-5.10976e-14,viable
YLR377C,sul,optimal,-1.90521e-13,viable
YDL022W,sul,optimal,-1.15172e-10,viable
YIL155C,sul,optimal,9.54651e-05,viable
YNL241C,sul,optimal,8.01029e-08,viable
YLR058C,sul,optimal,-1.00023e-08,viable
YDR300C,sul,optimal,8.26092e-10,viable
YDL215C,sul,optimal,3.00888e-08,viable
YNL277W,sul,optimal,-1.18906e-08,viable
YLR174W,sul,optimal,3.85286e-09,viable
YDL066W,sul,optimal,-9.96156e-11,viable
YOL126C,sul,optimal,-2.41279e-11,viable
YKL085W,sul,optimal,1.58872e-10,viable
YKL120W,sul,optimal,-1.00133e-08,viable
YCR012W,sul,optimal,-2.81324e-07,inviable
YJR077C,sul,optimal,1.00088e-08,viable
YBR166C,sul,optimal,-0.000980396,viable
YNL169C,sul,optimal,0.00952381,viable
YGR208W,sul,optimal,-9.9493e-05,viable
YJL121C,sul,optimal,3.00467e-08,viable
YOR095C,sul,optimal,1.20093e-07,inviable
YEL046C,sul,optimal,0.000347132,viable
YDR050C,sul,optimal,-4.19766e-07,inviable
YBL015W,sul,suboptimal,6.86799e-08,viable
YCR032W,sul,suboptimal,-3.495e-07,viable
YJR105W,sul,suboptimal,-1.36649e-12,viable
YFL030W,sul,suboptimal,-1.76255e-09,viable
YDR111C,sul,suboptimal,9.72573e-05,viable
YMR083W,sul,suboptimal,-7.95739e-08,viable
YDR158W,sul,suboptimal,-0.000114997,viable
YER052C,sul,suboptimal,-0.000114997,viable
YOL064C,sul,suboptimal,0.000544965,viable
YGR088W,sul,suboptimal,-1.53497e-13,viable
YAR035W,sul,suboptimal,-1.03138e-07,viable
YPR062W,sul,suboptimal,1.8948e-08,viable
YGR012W,sul,suboptimal,0.00477777,viable
YAL012W,sul,suboptimal,-1.91886e-14,viable
YGR155W,sul,suboptimal,-1.41321,viable
YNL241C,sul,suboptimal,-1.592e-07,viable
YEL011W,sul,suboptimal,-9.6432e-05,viable
YLR058C,sul,suboptimal,2.81811e-14,viable
YNL277W,sul,suboptimal,1.70521e-07,viable
YHR025W,sul,suboptimal,2.48459e-09,viable
YLR174W,sul,suboptimal,-1.03273e-07,viable
YER065C,sul,suboptimal,-1.50733e-14,viable
