gene,environment,type,setup,reaction,flux
YGR282C,amm,zero flux,optimal,1,0
YBR265W,amm,zero flux,optimal,16,0
YJR025C,amm,zero flux,optimal,17,0
YGR019W,amm,zero flux,optimal,39,0
YFL017C,amm,zero flux,optimal,53,0
YBL015W,amm,variable,optimal,59,0.16515
YOL140W,amm,constrained,optimal,70,0.04821
YAR071W,amm,zero flux,optimal,71,0
YPL148C,amm,zero flux,optimal,72,0
YLR153C,amm,zero flux,optimal,75,0
YCR032W,amm,zero flux,optimal,78,-0
YNR033W,amm,zero flux,optimal,83,0
YOL052C,amm,zero flux,optimal,94,0
YJL005W,amm,zero flux,optimal,95,0
YJR105W,amm,zero flux,optimal,96,0
YKL001C,amm,constrained,optimal,100,0.01719
YNL220W,amm,variable,optimal,103,0.04038
YDL052C,amm,constrained,optimal,104,0.00741
YFL030W,amm,zero flux,optimal,106,0
YER043C,amm,constrained,optimal,109,0.00561
YOR128C,amm,constrained,optimal,114,0.0294
YDR481C,amm,zero flux,optimal,120,0
YDR232W,amm,zero flux,optimal,121,0
YDR111C,amm,variable,optimal,122,-0.13764
YLR089C,amm,zero flux,optimal,123,-0
YOR335C,amm,zero flux,optimal,124,-0
YMR083W,amm,variable,optimal,127,0.14133
YIR029W,amm,zero flux,optimal,136,-0
YIR027C,amm,zero flux,optimal,137,-0
YIR028W,amm,zero flux,optimal,138,0
YJR152W,amm,zero flux,optimal,139,0
YNR058W,amm,zero flux,optimal,142,0
YPL274W,amm,zero flux,optimal,143,0
YDR354W,amm,constrained,optimal,151,0.00852
YDR305C,amm,zero flux,optimal,153,0
YPL111W,amm,zero flux,optimal,161,0
YHR018C,amm,constrained,optimal,162,0.04821
YOL058W,amm,constrained,optimal,163,0.04821
YDR341C,amm,zero flux,optimal,164,-0
YHR091C,amm,zero flux,optimal,165,-0
YBR034C,amm,zero flux,optimal,168,0
YDR158W,amm,variable,optimal,169,0.01521
YDR321W,amm,zero flux,optimal,170,0
YHR019C,amm,zero flux,optimal,173,-0
YCR024C,amm,zero flux,optimal,174,-0
YER052C,amm,variable,optimal,180,0.01521
YLL018C,amm,zero flux,optimal,185,-0
YPL104W,amm,zero flux,optimal,186,-0
YDR530C,amm,zero flux,optimal,191,0
YER055C,amm,constrained,optimal,195,0.01989
YOL064C,amm,variable,optimal,202,0.01719
YGR286C,amm,zero flux,optimal,204,-0
YNL280C,amm,constrained,optimal,205,0.00066
YMR015C,amm,zero flux,optimal,206,0
YGL012W,amm,constrained,optimal,207,0.00021
YLR056W,amm,zero flux,optimal,214,0
YMR202W,amm,zero flux,optimal,215,0
YGR088W,amm,variable,optimal,216,500
YDR256C,amm,zero flux,optimal,217,0
YCL004W,amm,zero flux,optimal,222,0
YGR202C,amm,zero flux,optimal,234,-0
YGL077C,amm,zero flux,optimal,236,0
YLR133W,amm,zero flux,optimal,237,-0
YPR060C,amm,constrained,optimal,238,0.07077
YGL148W,amm,constrained,optimal,239,0.07929
YDL142C,amm,zero flux,optimal,249,0
YDR044W,amm,zero flux,optimal,258,0
YOR100C,amm,zero flux,optimal,259,0
YBR132C,amm,zero flux,optimal,261,0
YAR035W,amm,zero flux,optimal,265,0
YPR062W,amm,zero flux,optimal,268,0
YCR005C,amm,zero flux,optimal,271,0
YGR012W,amm,constrained,optimal,276,0.00198
YAL012W,amm,at maximum,optimal,277,1000
YFR055W,amm,zero flux,optimal,278,0
YGL184C,amm,zero flux,optimal,279,0
