15S_RRNA	15S_RRNA_2	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes	14s rRNA			S000007287
21S_RRNA	21S_rRNA_3|21S_rRNA_4	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease				S000007288
21S_RRNA_4		Merged rRNA, does not encodes a discrete transcript; 21S_rRNA_4 was merged into 21S_rRNA_3 to produce a single feature named 21S_rRNA (See GenBank AJ011856)				S000007289
9S_RRNA_1		Deleted rRNA, does not encode a discrete transcript; the annotations for 9S_rRNA_1 and 9S_rRNA_5 have been removed and replaced with a single gene, RPM1, which provides the correct annotation of the 9S RNA component of RNase P				S000007285
9S_RRNA_5		Deleted rRNA, does not encode a discrete transcript; the annotations for 9S_rRNA_1 and 9S_rRNA_5 have been removed and replaced with a single gene, RPM1, which provides the correct annotation of the 9S RNA component of RNase P				S000007286
AAC1		Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator		Null mutant is viable, shows altered colony morphology	YMR056C	S000004660
AAC3	ANC3	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Pet9p and Aac1p; has roles in maintenance of viability and in respiration		Null mutant is viable; pet9,aac3 double null mutant is inviable under anaerobic conditions	YBR085W	S000000289
AAD10		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role			YJR155W	S000003916
AAD14		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role			YNL331C	S000005275
AAD15		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role			YOL165C	S000005525
AAD16		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role			YFL057C	S000001837
AAD3		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role			YCR107W	S000000704
AAD4		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase, involved in the oxidative stress response		Responds to oxidative stress induced by diamide and di-ethyl maleic acid ester in a YAP1 dependant manner	YDL243C	S000002402
AAD6		Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase, involved in the oxidative stress response		Responds to oxidative stress induced by diamide and di-ethyl maleic acid ester in YAP1 dependant manner	YFL056C	S000001838
AAH1		Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome			YNL141W	S000005085
AAP1	AAP1'	Arginine/alanine aminopeptidase, overproduction stimulates glycogen accumulation		null mutant is viable, decrease in glycogen accumulation	YHR047C	S000001089
